question,Actual Abstract
Name an American actor who was the president of the Screen Actors Guild and the United States Ambassador to Mexico?,"John Gavin (born Juan Vincent Apablasa Jr.; April 8, 1931 – February 9, 2018) was an American actor who was the president of the Screen Actors Guild (1971–73), and the United States Ambassador to Mexico (1981–86)."
"What was Louise Bours, a Member of the European Parliament  for the North West England region also known as?","Louise Bours (born 23 December 1968), also known as Louise van de Bours, is a Member of the European Parliament  for the North West England region."
"Name a British politician, who was a Member of the European Parliament (MEP) for the West Midlands?","Elizabeth Lynne (born 22 January 1948) is a British politician, and was a Member of the European Parliament (MEP) for the West Midlands for the Liberal Democrats from the 1999 European election until she retired in 2012."
"Name a British character actor who appeared in British films during the 1940s, 1950s and 1960s?","James Robertson Justice (born James Norval Harald Justice; 15 June 1907 – 2 July 1975) was a British character actor who appeared in British films during the 1940s, 1950s and 1960s."
What was Muhammad Yusuf Khan professionally known as?,"Muhammad Yusuf Khan (born 11 December 1922), known professionally as Dilip Kumar, is an actor, producer and philanthropist, who was later elected to India's parliament."
"What was Mohanlal Viswanathan an Indian actor, producer, playback singer, and distributor, who predominantly works in Malayalam cinema also known as?","Mohanlal Viswanathan (born 21 May 1960), known mononymously as Mohanlal, is an Indian actor, producer, playback singer, and distributor, who predominantly works in Malayalam cinema."
When did Soundarya Sathyanarayana  who received the National Film Award for Best Feature Film as producer for the Kannada film Dweepa die?,"Soundarya Sathyanarayana  (18 July 1976 – 17 April 2004) was an Indian actress and producer who worked predominantly in Telugu and Kannada films, besides Tamil, Malayalam and Hindi films  in lead roles.In 2002, she received the National Film Award for Best Feature Film as producer for the Kannada film Dweepa."
Who is Eduardo Barrios Manzano?,"Eduardo Barrios Manzano (born September 14, 1955) is an American-born Filipino actor, comedian, politician, television personality and United States Air Force veteran."
"Name a Filipino actor, comedian, politician and former professional basketball player in the Philippine Basketball Association?","Joselito Perez Marquez, better known as Joey Marquez, is a Filipino actor, comedian, politician and former professional basketball player in the Philippine Basketball Association."
Name an Irish politician who served as deputy First Minister of Northern Ireland from 1998 to 2001?,Seamus Frederick Mallon (; 17 August 1936 – 24 January 2020) was an Irish politician who served as deputy First Minister of Northern Ireland from 1998 to 2001 and Deputy Leader of the Social Democratic and Labour Party from 1979 to 2001.
Name an American soldier and statesman who served as the seventh president of the United States?,"Andrew Jackson (March 15, 1767 – June 8, 1845) was an American soldier and statesman who served as the seventh president of the United States from 1829 to 1837."
Name a British politician best known for being Chief Whip of Prime Minister David Lloyd George's Coalition Liberal Party?,"Frederick Edward ""Freddie"" Guest,  (14 June 1875 – 28 April 1937) was a British politician best known for being Chief Whip of Prime Minister David Lloyd George's Coalition Liberal Party, 1917–1921."
When did Frederick Alers Hankey die?,Frederick Alers Hankey (29 March 1833 – 15 February 1892) was an English banker and Conservative politician who sat in the House of Commons from 1885 to 1892.
Who is the 45th and current president of the United States?,"Donald John Trump (born June 14, 1946) is the 45th and current president of the United States."
"Who is Herbert Constantine ""Bistek"" Maclang Bautista?","Herbert Constantine ""Bistek"" Maclang Bautista (born May 12, 1968) is a Filipino actor and politician."
Who is Herminio Ahumada?,Herminio Ahumada (7 October 1899 – 1 July 1983) was a Mexican politician and former sprinter who competed in the 1924 Summer Olympics.He was the President of the Chamber of Deputies in 1944.
Who is Carlos Roberto de Oliveira? ,"Carlos Roberto de Oliveira, known as Roberto or Roberto Dinamite (born 13 April 1954) is a Brazilian former footballer and politician."
Name a Brazilian politician and a former female volleyball player?,"Leila Gomes de Barros (born September 30, 1971) is a Brazilian politician and a former female volleyball player."
"What is Carlos Alberto Reutemann, an Argentine former racing driver nicknamed as?","Carlos Alberto Reutemann (born April 12, 1942), nicknamed ""Lole"", is an Argentine former racing driver who raced in Formula One from 1972 through 1982, and later became a politician in his native province of Santa Fe, for the Justicialist Party, and governor of Santa Fe in Argentina."
Name an American retired jurist and former professional football player?,"Alan Cedric Page (born August 7, 1945) is an American retired jurist and former professional football player."
"When was Ben Nighthorse Campbell,  a Cheyenne-American politician born?","Ben Nighthorse Campbell (born April 13, 1933) is a Cheyenne-American politician who served as a U.S. Representative from 1987 to 1993, and a U.S."
Who was Colonel Arthur Espie Porritt?,"Colonel Arthur Espie Porritt, Baron Porritt,  (10 August 1900 – 1 January 1994) was a New Zealand physician, military surgeon, statesman and athlete."
"Who was William Spiers ""Billy"" Glenn?","William Spiers ""Billy"" Glenn  (21 February 1877 – 5 October 1953) was a New Zealand rugby union player who played for the All Blacks on their 1905 tour."
Who is Leila Gomes de Barros?,"Leila Gomes de Barros (born September 30, 1971) is a Brazilian politician and a former female volleyball player."
"When did Wilmer David ""Vinegar Bend"" Mizell die?","Wilmer David ""Vinegar Bend"" Mizell (August 13, 1930 – February 21, 1999) was a professional American athlete, playing as a pitcher for 14 years, and later a politician."
Name an an American banker and politician who served as the 41st governor of Arkansas?,"Frank Durward White (born Durward Frank Kyle Jr.; June 4, 1933 – May 21, 2003) was an American banker and politician who served as the 41st governor of Arkansas."
Name an an American track and field sprinter and politician?,"Ralph Harold Metcalfe Sr. (May 29, 1910 – October 10, 1978) was an American track and field sprinter and politician."
Who is Dwayne D. Woodruff? ,"Dwayne D. Woodruff (born February 18, 1957) is a judge and former professional American football player who played twelve seasons as a cornerback for the Pittsburgh Steelers, where he accumulated 37 interceptions after being drafted in the sixth round in 1979."
Who was also known as Durward Frank Kyle Jr?,"Frank Durward White (born Durward Frank Kyle Jr.; June 4, 1933 – May 21, 2003) was an American banker and politician who served as the 41st governor of Arkansas."
When did Walter Perry Johnson die?,"Walter Perry Johnson (November 6, 1887 – December 10, 1946), nicknamed ""Barney"" and ""The Big Train"", was a Major League Baseball right-handed pitcher."
Who was Richard Dwight Farmer?,"Richard Dwight Farmer (born August 25, 1969) is an American former collegiate basketball player and Republican Party politician from the U.S. state of Kentucky."
"When was Hercules Richard ""Bumper"" Wright born?","Hercules Richard ""Bumper"" Wright (16 January 1881 – 4 April 1963) was a New Zealand rugby footballer who was part of the professional (rugby league) 1907–1908 New Zealand rugby tour of Great Britain."
"Who was Tutekawa ""Tu"" Wyllie?","Tutekawa ""Tu"" Wyllie (born 24 October 1954) is a former New Zealand politician and rugby union player."
Name a  New Zealand racing-driver and a former politician in both local and national politics?,"Ian ""Inky"" Tulloch  (born 21 September 1950) is a New Zealand racing-driver and a former politician in both local and national politics."
