,question,Actual Abstract,quest_emb,Predicted Abstract,Answer
0,Name an American actor who was the president of the Screen Actors Guild and the United States Ambassador to Mexico?,"John Gavin (born Juan Vincent Apablasa Jr.; April 8, 1931 – February 9, 2018) was an American actor who was the president of the Screen Actors Guild (1971–73), and the United States Ambassador to Mexico (1981–86).","[[-0.02874381  0.05463753  0.14788046 ...  0.04575614  0.09378991
   0.11667757]]","John Gavin (born Juan Vincent Apablasa Jr.; April 8, 1931 – February 9, 2018) was an American actor who was the president of the Screen Actors Guild (1971–73), and the United States Ambassador to Mexico (1981–86).",John Gavin 
1,"What was Louise Bours, a Member of the European Parliament  for the North West England region also known as?","Louise Bours (born 23 December 1968), also known as Louise van de Bours, is a Member of the European Parliament  for the North West England region.",[[0.00615236 0.10137331 0.08296338 ... 0.03833656 0.02144909 0.08923437]],"Louise Bours (born 23 December 1968), also known as Louise van de Bours, is a Member of the European Parliament  for the North West England region.",Louise van de Bours
2,"Name a British politician, who was a Member of the European Parliament (MEP) for the West Midlands?","Elizabeth Lynne (born 22 January 1948) is a British politician, and was a Member of the European Parliament (MEP) for the West Midlands for the Liberal Democrats from the 1999 European election until she retired in 2012.",[[0.01666664 0.10489679 0.10796224 ... 0.05207528 0.02854064 0.10467684]],"Elizabeth Lynne (born 22 January 1948) is a British politician, and was a Member of the European Parliament (MEP) for the West Midlands for the Liberal Democrats from the 1999 European election until she retired in 2012.",Elizabeth Lynne 
3,"Name a British character actor who appeared in British films during the 1940s, 1950s and 1960s?","James Robertson Justice (born James Norval Harald Justice; 15 June 1907 – 2 July 1975) was a British character actor who appeared in British films during the 1940s, 1950s and 1960s.","[[ 0.01666664  0.09101592  0.13560656 ... -0.00131121  0.0115278
   0.07898113]]","James Robertson Justice (born James Norval Harald Justice; 15 June 1907 – 2 July 1975) was a British character actor who appeared in British films during the 1940s, 1950s and 1960s.",James Robertson Justice 
4,What was Muhammad Yusuf Khan professionally known as?,"Muhammad Yusuf Khan (born 11 December 1922), known professionally as Dilip Kumar, is an actor, producer and philanthropist, who was later elected to India's parliament.","[[-0.01890067  0.04943122  0.10987092 ...  0.04738857  0.01254501
   0.05117181]]","Muhammad Yusuf Khan (born 11 December 1922), known professionally as Dilip Kumar, is an actor, producer and philanthropist, who was later elected to India's parliament.",Dilip Kumar
5,"What was Mohanlal Viswanathan an Indian actor, producer, playback singer, and distributor, who predominantly works in Malayalam cinema also known as?","Mohanlal Viswanathan (born 21 May 1960), known mononymously as Mohanlal, is an Indian actor, producer, playback singer, and distributor, who predominantly works in Malayalam cinema.",[[0.07208458 0.07206357 0.16570675 ... 0.09874924 0.02323389 0.12307962]],"Mohanlal Viswanathan (born 21 May 1960), known mononymously as Mohanlal, is an Indian actor, producer, playback singer, and distributor, who predominantly works in Malayalam cinema.",Mohanlal
6,When did Soundarya Sathyanarayana  who received the National Film Award for Best Feature Film as producer for the Kannada film Dweepa die?,"Soundarya Sathyanarayana  (18 July 1976 – 17 April 2004) was an Indian actress and producer who worked predominantly in Telugu and Kannada films, besides Tamil, Malayalam and Hindi films  in lead roles.In 2002, she received the National Film Award for Best Feature Film as producer for the Kannada film Dweepa.",[[0.06440573 0.07754053 0.2126708  ... 0.04807594 0.01190878 0.10252646]],"Soundarya Sathyanarayana  (18 July 1976 – 17 April 2004) was an Indian actress and producer who worked predominantly in Telugu and Kannada films, besides Tamil, Malayalam and Hindi films  in lead roles.In 2002, she received the National Film Award for Best Feature Film as producer for the Kannada film Dweepa.",17 April 2004
7,Who is Eduardo Barrios Manzano?,"Eduardo Barrios Manzano (born September 14, 1955) is an American-born Filipino actor, comedian, politician, television personality and United States Air Force veteran.","[[-0.02042911  0.05026395  0.13595836 ...  0.08245787  0.03943323
  -0.00194309]]","Eduardo Barrios Manzano (born September 14, 1955) is an American-born Filipino actor, comedian, politician, television personality and United States Air Force veteran.","Eduardo Barrios Manzano (born September 14, 1955) is an American-born Filipino actor, comedian, politician, television personality and United States Air Force veteran."
8,"Name a Filipino actor, comedian, politician and former professional basketball player in the Philippine Basketball Association?","Joselito Perez Marquez, better known as Joey Marquez, is a Filipino actor, comedian, politician and former professional basketball player in the Philippine Basketball Association.","[[ 0.01666664  0.09874208  0.10370949 ... -0.01258784  0.11906409
   0.08839785]]","Joselito Perez Marquez, better known as Joey Marquez, is a Filipino actor, comedian, politician and former professional basketball player in the Philippine Basketball Association.",Joselito Perez Marquez
9,Name an Irish politician who served as deputy First Minister of Northern Ireland from 1998 to 2001?,Seamus Frederick Mallon (; 17 August 1936 – 24 January 2020) was an Irish politician who served as deputy First Minister of Northern Ireland from 1998 to 2001 and Deputy Leader of the Social Democratic and Labour Party from 1979 to 2001.,"[[-0.02874381  0.12407497  0.12934837 ...  0.05429581  0.03149672
   0.1389015 ]]",Seamus Frederick Mallon (; 17 August 1936 – 24 January 2020) was an Irish politician who served as deputy First Minister of Northern Ireland from 1998 to 2001 and Deputy Leader of the Social Democratic and Labour Party from 1979 to 2001.,Seamus Frederick Mallon 
