,question,Actual Abstract,Predicted Abstract,Answer
0,Name an American actor who was the president of the Screen Actors Guild and the United States Ambassador to Mexico?,"John Gavin (born Juan Vincent Apablasa Jr.; April 8, 1931 – February 9, 2018) was an American actor who was the president of the Screen Actors Guild (1971–73), and the United States Ambassador to Mexico (1981–86).","John Gavin (born Juan Vincent Apablasa Jr.; April 8, 1931 – February 9, 2018) was an American actor who was the president of the Screen Actors Guild (1971–73), and the United States Ambassador to Mexico (1981–86).",John Gavin
1,"What was Louise Bours, a Member of the European Parliament  for the North West England region also known as?","Louise Bours (born 23 December 1968), also known as Louise van de Bours, is a Member of the European Parliament  for the North West England region.","Louise Bours (born 23 December 1968), also known as Louise van de Bours, is a Member of the European Parliament  for the North West England region.",Louise van de Bours
2,"Name a British politician, who was a Member of the European Parliament (MEP) for the West Midlands?","Elizabeth Lynne (born 22 January 1948) is a British politician, and was a Member of the European Parliament (MEP) for the West Midlands for the Liberal Democrats from the 1999 European election until she retired in 2012.","Elizabeth Lynne (born 22 January 1948) is a British politician, and was a Member of the European Parliament (MEP) for the West Midlands for the Liberal Democrats from the 1999 European election until she retired in 2012.",Elizabeth Lynne
3,"Name a British character actor who appeared in British films during the 1940s, 1950s and 1960s?","James Robertson Justice (born James Norval Harald Justice; 15 June 1907 – 2 July 1975) was a British character actor who appeared in British films during the 1940s, 1950s and 1960s.","James Robertson Justice (born James Norval Harald Justice; 15 June 1907 – 2 July 1975) was a British character actor who appeared in British films during the 1940s, 1950s and 1960s.",James Robertson Justice
4,What was Muhammad Yusuf Khan professionally known as?,"Muhammad Yusuf Khan (born 11 December 1922), known professionally as Dilip Kumar, is an actor, producer and philanthropist, who was later elected to India's parliament.","Muhammad Yusuf Khan (born 11 December 1922), known professionally as Dilip Kumar, is an actor, producer and philanthropist, who was later elected to India's parliament.",Dilip Kumar
5,"What was Mohanlal Viswanathan an Indian actor, producer, playback singer, and distributor, who predominantly works in Malayalam cinema also known as?","Mohanlal Viswanathan (born 21 May 1960), known mononymously as Mohanlal, is an Indian actor, producer, playback singer, and distributor, who predominantly works in Malayalam cinema.","Mohanlal Viswanathan (born 21 May 1960), known mononymously as Mohanlal, is an Indian actor, producer, playback singer, and distributor, who predominantly works in Malayalam cinema.",Mohanlal
6,When did Soundarya Sathyanarayana  who received the National Film Award for Best Feature Film as producer for the Kannada film Dweepa die?,"Soundarya Sathyanarayana  (18 July 1976 – 17 April 2004) was an Indian actress and producer who worked predominantly in Telugu and Kannada films, besides Tamil, Malayalam and Hindi films  in lead roles.In 2002, she received the National Film Award for Best Feature Film as producer for the Kannada film Dweepa.","Soundarya Sathyanarayana  (18 July 1976 – 17 April 2004) was an Indian actress and producer who worked predominantly in Telugu and Kannada films, besides Tamil, Malayalam and Hindi films  in lead roles.In 2002, she received the National Film Award for Best Feature Film as producer for the Kannada film Dweepa.",2002
7,Who is Eduardo Barrios Manzano?,"Eduardo Barrios Manzano (born September 14, 1955) is an American-born Filipino actor, comedian, politician, television personality and United States Air Force veteran.","After graduating, he became a civil rights attorney and an academic, teaching constitutional law at the University of Chicago Law School from 1992 to 2004.",civil rights attorney
8,"Name a Filipino actor, comedian, politician and former professional basketball player in the Philippine Basketball Association?","Joselito Perez Marquez, better known as Joey Marquez, is a Filipino actor, comedian, politician and former professional basketball player in the Philippine Basketball Association.","Joselito Perez Marquez, better known as Joey Marquez, is a Filipino actor, comedian, politician and former professional basketball player in the Philippine Basketball Association.",Joselito Perez Marquez
9,Name an Irish politician who served as deputy First Minister of Northern Ireland from 1998 to 2001?,Seamus Frederick Mallon (; 17 August 1936 – 24 January 2020) was an Irish politician who served as deputy First Minister of Northern Ireland from 1998 to 2001 and Deputy Leader of the Social Democratic and Labour Party from 1979 to 2001.,Seamus Frederick Mallon (; 17 August 1936 – 24 January 2020) was an Irish politician who served as deputy First Minister of Northern Ireland from 1998 to 2001 and Deputy Leader of the Social Democratic and Labour Party from 1979 to 2001.,Seamus Frederick Mallon
10,Name an American soldier and statesman who served as the seventh president of the United States?,"Andrew Jackson (March 15, 1767 – June 8, 1845) was an American soldier and statesman who served as the seventh president of the United States from 1829 to 1837.","Andrew Jackson (March 15, 1767 – June 8, 1845) was an American soldier and statesman who served as the seventh president of the United States from 1829 to 1837.",Andrew Jackson
11,Name a British politician best known for being Chief Whip of Prime Minister David Lloyd George's Coalition Liberal Party?,"Frederick Edward ""Freddie"" Guest,  (14 June 1875 – 28 April 1937) was a British politician best known for being Chief Whip of Prime Minister David Lloyd George's Coalition Liberal Party, 1917–1921.","Frederick Edward ""Freddie"" Guest,  (14 June 1875 – 28 April 1937) was a British politician best known for being Chief Whip of Prime Minister David Lloyd George's Coalition Liberal Party, 1917–1921.","Frederick Edward ""Freddie"" Guest"
12,When did Frederick Alers Hankey die?,Frederick Alers Hankey (29 March 1833 – 15 February 1892) was an English banker and Conservative politician who sat in the House of Commons from 1885 to 1892.,Frederick Alers Hankey (29 March 1833 – 15 February 1892) was an English banker and Conservative politician who sat in the House of Commons from 1885 to 1892.,15 February 1892
13,Who is the 45th and current president of the United States?,"Donald John Trump (born June 14, 1946) is the 45th and current president of the United States.","Donald John Trump (born June 14, 1946) is the 45th and current president of the United States.",Donald John Trump
14,"Who is Herbert Constantine ""Bistek"" Maclang Bautista?","Herbert Constantine ""Bistek"" Maclang Bautista (born May 12, 1968) is a Filipino actor and politician.","Herbert Constantine ""Bistek"" Maclang Bautista (born May 12, 1968) is a Filipino actor and politician.",a Filipino actor and politician
15,Who is Herminio Ahumada?,Herminio Ahumada (7 October 1899 – 1 July 1983) was a Mexican politician and former sprinter who competed in the 1924 Summer Olympics.He was the President of the Chamber of Deputies in 1944.,Herminio Ahumada (7 October 1899 – 1 July 1983) was a Mexican politician and former sprinter who competed in the 1924 Summer Olympics.He was the President of the Chamber of Deputies in 1944.,a Mexican
16,Who is Carlos Roberto de Oliveira? ,"Carlos Roberto de Oliveira, known as Roberto or Roberto Dinamite (born 13 April 1954) is a Brazilian former footballer and politician.","Carlos Roberto de Oliveira, known as Roberto or Roberto Dinamite (born 13 April 1954) is a Brazilian former footballer and politician.",a Brazilian former footballer and politician
17,Name a Brazilian politician and a former female volleyball player?,"Leila Gomes de Barros (born September 30, 1971) is a Brazilian politician and a former female volleyball player.","Leila Gomes de Barros (born September 30, 1971) is a Brazilian politician and a former female volleyball player.",Leila Gomes de Barros
18,"What is Carlos Alberto Reutemann, an Argentine former racing driver nicknamed as?","Carlos Alberto Reutemann (born April 12, 1942), nicknamed ""Lole"", is an Argentine former racing driver who raced in Formula One from 1972 through 1982, and later became a politician in his native province of Santa Fe, for the Justicialist Party, and governor of Santa Fe in Argentina.","Carlos Alberto Reutemann (born April 12, 1942), nicknamed ""Lole"", is an Argentine former racing driver who raced in Formula One from 1972 through 1982, and later became a politician in his native province of Santa Fe, for the Justicialist Party, and governor of Santa Fe in Argentina.",Lole
19,Name an American retired jurist and former professional football player?,"Alan Cedric Page (born August 7, 1945) is an American retired jurist and former professional football player.","Alan Cedric Page (born August 7, 1945) is an American retired jurist and former professional football player.",Alan Cedric Page
20,"When was Ben Nighthorse Campbell,  a Cheyenne-American politician born?","Ben Nighthorse Campbell (born April 13, 1933) is a Cheyenne-American politician who served as a U.S. Representative from 1987 to 1993, and a U.S.","Ben Nighthorse Campbell (born April 13, 1933) is a Cheyenne-American politician who served as a U.S. Representative from 1987 to 1993, and a U.S.","April 13, 1933"
21,Who was Colonel Arthur Espie Porritt?,"Colonel Arthur Espie Porritt, Baron Porritt,  (10 August 1900 – 1 January 1994) was a New Zealand physician, military surgeon, statesman and athlete.","Sir Arthur Hesilrige, 2nd Baronet, was an ancestor.","Sir Arthur Hesilrige, 2nd Baronet"
22,"Who was William Spiers ""Billy"" Glenn?","William Spiers ""Billy"" Glenn  (21 February 1877 – 5 October 1953) was a New Zealand rugby union player who played for the All Blacks on their 1905 tour.",and tracker Billy Sole in Predator.,tracker
23,Who is Leila Gomes de Barros?,"Leila Gomes de Barros (born September 30, 1971) is a Brazilian politician and a former female volleyball player.","Nine months later, he was named the 2009 Nobel Peace Prize laureate.",2009 Nobel Peace Prize laureate
